variable,label,units,type,reference
SMR_VSA3,MOE MR VSA Descriptor 3 ( 1.82 <= x < 2.24),,ratio,"10.1016/S1093-3263(00)00068-1"
SMR_VSA4,MOE MR VSA Descriptor 4 ( 2.24 <= x < 2.45),,ratio,"10.1016/S1093-3263(00)00068-1"
SMR_VSA5,MOE MR VSA Descriptor 5 ( 2.45 <= x < 2.75),,ratio,"10.1016/S1093-3263(00)00068-1"
SMR_VSA6,MOE MR VSA Descriptor 6 ( 2.75 <= x < 3.05),,ratio,"10.1016/S1093-3263(00)00068-1"
SMR_VSA7,MOE MR VSA Descriptor 7 ( 3.05 <= x < 3.63),,ratio,"10.1016/S1093-3263(00)00068-1"
SMR_VSA8,MOE MR VSA Descriptor 8 ( 3.63 <= x < 3.80),,ratio,"10.1016/S1093-3263(00)00068-1"
SMR_VSA9,MOE MR VSA Descriptor 9 ( 3.80 <= x < 4.00),,ratio,"10.1016/S1093-3263(00)00068-1"
SMR_VSA10,MOE MR VSA Descriptor 10,,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA1,MOE logP VSA Descriptor 1 (-inf < x < -0.40),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA2,MOE logP VSA Descriptor 2 (-0.40 <= x < -0.20),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA3,MOE logP VSA Descriptor 3 (-0.20 <= x < 0.00),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA4,MOE logP VSA Descriptor 4 ( 0.00 <= x < 0.10),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA5,MOE logP VSA Descriptor 5 ( 0.10 <= x < 0.15),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA6,MOE logP VSA Descriptor 6 ( 0.15 <= x < 0.20),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA7,MOE logP VSA Descriptor 7 ( 0.20 <= x < 0.25),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA8,MOE logP VSA Descriptor 8 ( 0.25 <= x < 0.30),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA9,MOE logP VSA Descriptor 9 ( 0.30 <= x < 0.40),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA10,MOE logP VSA Descriptor 10 ( 0.40 <= x < 0.50),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA11,MOE logP VSA Descriptor 11 ( 0.50 <= x < 0.60),,ratio,"10.1016/S1093-3263(00)00068-1"
SlogP_VSA12,MOE logP VSA Descriptor 12 ( 0.60 <= x < inf),,ratio,"10.1016/S1093-3263(00)00068-1"
TPSA,The polar surface area (PSA) or topological polar surface area (TPSA),nm^2,ratio,
EState_VSA1,EState VSA  Descriptor 1 (-inf < x < -0.39),,ratio,"10.1002/qsar.19910100108"
EState_VSA2,EState VSA  Descriptor 2 ( -0.39 <= x < 0.29),,ratio,"10.1002/qsar.19910100108"
EState_VSA3,EState VSA  Descriptor 3 ( 0.29 <= x < 0.72),,ratio,"10.1002/qsar.19910100108"
EState_VSA4,EState VSA  Descriptor 4 ( 0.72 <= x < 1.17),,ratio,"10.1002/qsar.19910100108"
EState_VSA5,EState VSA  Descriptor 5 ( 1.17 <= x < 1.54),,ratio,"10.1002/qsar.19910100108"
EState_VSA6,EState VSA  Descriptor 6 ( 1.54 <= x < 1.81),,ratio,"10.1002/qsar.19910100108"
EState_VSA7,EState VSA Descriptor 7 ( 1.81 <= x < 2.05),,ratio,"10.1002/qsar.19910100108"
EState_VSA8,EState VSA  Descriptor 8 ( 2.05 <= x < 4.69),,ratio,"10.1002/qsar.19910100108"
EState_VSA9,EState VSA  Descriptor 9 ( 4.69 <= x < 9.17),,ratio,"10.1002/qsar.19910100108"
EState_VSA10,EState VSA Descriptor 10 ( 9.17 <= x < 15.00),,ratio,"10.1002/qsar.19910100108"
EState_VSA11,EState VSA Descriptor 11 ( 15.00 <= x < inf),,ratio,"10.1002/qsar.19910100108"
VSA_EState1,VSA EState Descriptor 1 (-inf < x < 4.78),,ratio,"10.1002/qsar.19910100108"
VSA_EState2,VSA EState Descriptor 2 ( 4.78 <= x < 5.00),,ratio,"10.1002/qsar.19910100108"
VSA_EState3,VSA EState Descriptor 3 ( 5.00 <= x < 5.41),,ratio,"10.1002/qsar.19910100108"
VSA_EState4,VSA EState Descriptor 4 ( 5.41 <= x < 5.74),,ratio,"10.1002/qsar.19910100108"
VSA_EState5,VSA EState Descriptor 5 ( 5.74 <= x < 6.00),,ratio,"10.1002/qsar.19910100108"
VSA_EState6,VSA EState Descriptor 6 ( 6.00 <= x < 6.07),,ratio,"10.1002/qsar.19910100108"
VSA_EState7,VSA EState Descriptor 7 ( 6.07 <= x < 6.45),,ratio,"10.1002/qsar.19910100108"
VSA_EState8,VSA EState Descriptor 8 ( 6.45 <= x < 7.00),,ratio,"10.1002/qsar.19910100108"
VSA_EState9,VSA EState Descriptor 9 ( 7.00 <= x < 11.00),,ratio,"10.1002/qsar.19910100108"
VSA_EState10,VSA EState Descriptor 10 ( 11.00 <= x < inf),,ratio,"10.1002/qsar.19910100108"
FractionCSP3,"The fraction of C atoms that are $sp^3$ hybridized",,ratio,
HeavyAtomCount,Number of heavy atoms,,count,
NHOHCount,Number of NHs and OHs,,count,
NOCount,Number of Nitrogen and Oxygen atoms,,count,
NumAliphaticCarbocycles,Number of aliphatic (containing at least one non-aromatic bond) carbocycles,,count,
NumAliphaticHeterocycles,Number of aliphatic (containing at least one non-aromatic bond) heterocycles,,count,
NumAliphaticRings,Number of aliphatic (containing at least one non-aromatic bond) rings,,count,
NumAromaticCarbocycles,The number of aromatic carbocycles,,count,
NumAromaticHeterocycles,The number of aromatic heterocycles,,count,
NumAromaticRings,The number of aromatic rings,,count,
NumHAcceptors,Number of Hydrogen Bond Acceptors,,count,
NumHDonors,Number of Hydrogen Bond Donors,,count,
NumHeteroatoms,Number of Heteroatoms,,count,
NumRotatableBonds,Number of Rotatable Bonds,,count,
NumSaturatedCarbocycles,Number of saturated carbocycles,,count,
NumSaturatedHeterocycles,Number of saturated heterocycles,,count,
NumSaturatedRings,Number of Saturated Rings,,count,
RingCount,Number of All Rings,,count,
MolLogP,octanol/water partition coefficient (Wildman-Crippen LogP value),,ratio,"10.1021/ci990307l"
MolMR,Molar Refractivity (Wildman-Crippen MR value),,ratio,"10.1021/ci990307l"
fr_Al_COO,Number of aliphatic carboxylic acids,,count,
fr_Al_OH,Number of aliphatic hydroxyl groups,,count,
fr_Al_OH_noTert,Number of aliphatic hydroxyl groups excluding tert-OH,,count,
fr_ArN,Number of N functional groups attached to aromatics,,count,
fr_Ar_COO,Number of Aromatic carboxylic acide,,count,
fr_Ar_N,Number of aromatic nitrogens,,count,
fr_Ar_NH,Number of aromatic amines,,count,
fr_Ar_OH,Number of aromatic hydroxyl groups,,count,
fr_COO,Number of carboxylic acids,,count,
fr_COO2,Number of carboxylic acids,,count,
fr_C_O,Number of carbonyl O,,count,
fr_C_O_noCOO,"Number of carbonyl O, excluding COOH",,count,
fr_C_S,Number of thiocarbonyl,,count,
fr_HOCCN,Number of C(OH)CCN-Ctert-alkyl or C(OH)CCNcyclic,,count,
fr_Imine,Number of Imines,,count,
fr_NH0,Number of Tertiary amines,,count,
fr_NH1,Number of Secondary amines,,count,
fr_NH2,Number of Primary amines,,count,
fr_N_O,Number of hydroxylamine groups,,count,
fr_Ndealkylation1,Number of XCCNR groups,,count,
